[2024-09-14 19:26:54,968][__main__][INFO]: Welcome to AirLine!
[2024-09-14 19:26:55,023][reader.Mysql][INFO]: Connecting to database
[2024-09-14 19:26:55,168][reader.Mysql][INFO]: Connected!
[2024-09-14 19:26:55,180][__main__][WARNING]: Auto logged Admin: k
[2024-09-14 19:26:55,393][ui.Manager][INFO]: Initialized Home
[2024-09-14 19:26:55,398][ui.Manager][INFO]: Showing Home
[2024-09-14 19:26:56,893][ui.Flights][INFO]: Refreshing Flights!
[2024-09-14 19:26:56,898][ui.Flights][INFO]: Extracted flights from Flights!
[2024-09-14 19:26:56,902][ui.Manager][INFO]: Initialized Flights
[2024-09-14 19:26:56,908][ui.Manager][INFO]: Showing Flights
[2024-09-14 19:27:38,208][__main__][INFO]: Program terminated!
